#date,Sat Sep  9 09:09:58 2017

#sensor id,Z3251-11-28-34-3
#shutter speed,30
#exposure time,5.504
#wavelength(nm),600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958,959,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,990,991,992,993,994,995,996,997,998,999,1000
#power,255.7,259.757,263.815,267.872,271.93,275.987,276.57,277.152,277.734,278.317,278.899,277.441,275.982,274.524,273.065,271.607,269.474,267.342,265.209,263.076,260.944,255.581,250.219,244.857,239.495,234.133,226.673,219.213,211.753,204.293,196.833,188.417,180,171.583,163.167,154.75,147.62,140.491,133.361,126.231,119.102,114.237,109.373,104.509,99.6441,94.7797,91.9966,89.2135,86.4304,83.6473,80.8642,79.5712,78.2782,76.9853,75.6923,74.3993,74.5603,74.7214,74.8825,75.0435,75.2046,74.8368,74.4691,74.1013,73.7336,73.3658,75.5099,77.6539,79.7979,81.9419,84.0859,84.6772,85.2685,85.8598,86.4511,87.0424,89.0851,91.1277,93.1704,95.213,97.2557,98.3386,99.4216,100.505,101.587,102.67,106.708,110.746,114.784,118.822,122.859,125.531,128.203,130.876,133.548,136.22,140.024,143.828,147.632,151.436,155.24,157.852,160.464,163.075,165.687,168.299,170.435,172.571,174.708,176.844,178.98,181.417,183.853,186.29,188.727,191.163,192.703,194.242,195.782,197.322,198.861,200.063,201.265,202.466,203.668,204.87,205.517,206.165,206.813,207.461,208.109,208.792,209.476,210.159,210.842,211.526,211.872,212.218,212.564,212.91,213.256,213.934,214.612,215.29,215.968,216.646,217.153,217.659,218.165,218.671,219.177,219.325,219.474,219.622,219.77,219.919,218.36,216.801,215.242,213.683,212.124,213.068,214.012,214.956,215.9,216.844,216.873,216.902,216.931,216.96,216.989,218.214,219.439,220.664,221.889,223.114,221.845,220.575,219.305,218.036,216.766,216.092,215.419,214.746,214.072,213.399,211.721,210.043,208.365,206.688,205.01,204.294,203.579,202.864,202.149,201.433,202.136,202.838,203.541,204.244,204.946,206.815,208.683,210.552,212.421,214.289,216.223,218.156,220.09,222.023,223.957,225.197,226.438,227.679,228.92,230.16,229.384,228.607,227.831,227.054,226.278,226.473,226.669,226.864,227.06,227.255,227.217,227.18,227.142,227.104,227.066,227.403,227.739,228.076,228.413,228.75,229.78,230.81,231.839,232.869,233.899,235.307,236.714,238.122,239.529,240.937,241.899,242.862,243.825,244.787,245.75,245.131,244.513,243.894,243.275,242.656,240.873,239.09,237.307,235.524,233.741,229.56,225.378,221.196,217.015,212.833,209.929,207.025,204.121,201.217,198.312,196.199,194.086,191.973,189.86,187.746,185.353,182.96,180.567,178.173,175.78,173.525,171.271,169.016,166.762,164.507,163.009,161.511,160.012,158.514,157.016,157.801,158.587,159.372,160.157,160.943,161.782,162.621,163.46,164.299,165.138,164.569,163.999,163.429,162.859,162.29,162.053,161.817,161.581,161.344,161.108,160.924,160.741,160.558,160.374,160.191,158.381,156.571,154.761,152.951,151.141,149.384,147.627,145.87,144.113,142.356,140.224,138.093,135.962,133.831,131.699,128.549,125.399,122.248,119.098,115.948,112.988,110.029,107.069,104.11,101.15,100.572,99.9933,99.4148,98.8364,98.258,100.086,101.915,103.743,105.571,107.4,110.185,112.969,115.754,118.539,121.324,123.689,126.055,128.42,130.786,133.152,134.18,135.209,136.237,137.265,138.294,137.582,136.871,136.159,135.448,134.737,132.606,130.475,128.345,126.214,124.084,120.508,116.933,113.358,109.782,106.207,102.393,98.5799,94.7665,90.9531,87.1397,84.5628,81.986,79.4091,76.8323,74.2554,71.9358,69.6162,67.2966,64.977,62.6574,60.5542,58.4509,56.3477,54.2445,52.1413
#filterdata,704.55,634.1,641.35,626,639.25,639.2,629.7,630.8,644.15,621.3,624.25,627.4,615.6,628.55,637.5,647.8,626,630.6,620.3,626.5,621.5,617.7,631.35,621.7,632.2,618.1,619.4,633.25,624.95,621.4,617.4,819.6,536.5,623.65,618.9,608.7,624.4,611,614.8,619.5,609.2,616.3,617.8,620.4,618.75,627,629.35,622.15,623.95,606.7,610.65,619,620.15,621.9,623.1,620.5,606.1,611.85,612.2,621.25,608.05,619.3,604.1,631.8,523.6,632.85,629.65,614.8,619.95,621.15,627.95,615.8,632.95,625.4,613.4,621.2,617.85,620.3,625.1,624.9,625.05,621.9,617.7,623.1,626.5,609.7,636.7,623.9,625.65,624.95,617.7,625.15,607.9,623.8,611.65,619.3,523.5,728.5,786.8,772,753.75,751.85,751.3,759.5,749.65,761.9,751.4,762.65,751.35,761.95,773.35,763.75,758.7,745.2,754.65,775.15,757.8,766,774.55,755.75,772.35,755.3,759.15,753.15,770.2,778.6,717,619.3,528.45,713.6,783.2,763.45,804.9,735.5,740.2,724.9,698.65,715.4,732.25,723.8,715.1,723.1,729.55,729.75,728.5,709.65,714.65,716.3,725.3,717.85,722,719.05,737.3,705.3,716.25,805.3,743.75,771.35,706.5,630.05,526.45,711.3,793.55,742.75,712.8,684,696.6,693.8,679.8,694.9,696.1,695.55,687.35,698.15,692.1,692.7,691.55,680.2,695.2,703.2,684.9,693.2,703.4,695.7,704.7,698.75,694.45,720.15,741.6,782.45,699.9,632.3,531.8,719.05,786.8,766,717.15,696,734.7,722.4,728.55,745.5,741.2,746.25,738.9,755.1,749.5,744.8,736.45,731.45,681.3,674.3,682.6,678.4,691.5,687.65,688.2,661.7,685.1,714.6,739.7,773.05,701.15,632.55,523.8,722.9,782.8,752.25,717,695.6,675.3,795.95,737.3,721.9,741.7,732.6,739.25,735.2,751.6,746.8,735.45,721.9,725.3,726.05,714.95,713.9,729.9,715.8,794.85,672.8,681.7,709.3,737.25,787.6,697.6,619.8,533.7,717.4,774.5,764.45,721.45,701.65,689.2,722.4,772.85,770.75,785.5,786.15,766.95,778.35,788.1,770.1,777.2,782.15,771,779.35,769.4,758.5,768.6,778.1,708.6,674.2,692.8,717.8,752.8,791.45,710.6,625.55,525,722.7,785.9,748.1,725.9,692.85,684.1,738.75,770.4,721.8,714.6,725.6,718,728.75,724.95,728.55,737.3,723.05,718.15,731.6,726.7,721,753.1,760.15,720.9,673.8,689.45,731.6,749.5,777,712.7,623,524.7,721.3,801.2,763.5,735,706.1,688.7,721.2,763.75,730.05,714.3,718.8,709.8,721.2,716.5,720.65,717.25,719.3,703.85,715.45,717.7,722.8,732.45,758.65,715.4,674,684.85,737.4,758.2,775.95,718,629.6,520.4,723.75,790.3,754.45,740.75,686.4,679.35,715.35,776.45,715.4,718.45,713,701.15,694.2,717.65,701,704.7,690.8,690.4,695.2,700.8,715.25,735.2,759.8,714.85,671.9,696.5,735.9,748.3,770.1,715.95,626.35,526.9,732.75,720.2,757.85,747.1,698.5,681.1,715.2,750.3,735.65,724.75,715.7,722,723.5,721.55,714.5,721.75,694,701.05,711.2,720.7,717.25,745.2,772,719.3,677.9,688.9,742.5,741.3,700.7,720.7,621.4,520.8,722.85,715.1,743.8,748.95,694.95,692.4,727.4,766.9,735.45,722.1,709.75,695.65,702.05,686.95,699.6,668.3,674.05,679.55,708.6,700.8,723.6,743.85,747.5,727.8,674,691.6,732.3,739.95,726.5,711.1,615.35,521.2,724.5,715.8,758,743.7,707.5,685.15,721.9,769.55,714.8,725.45,701.45,695.8,695.3,704.1,685,700.8,673.7,670.75,706.9,707.95,704,745.85,767.5,733.9,674.75,699.6,738.15,753.7,715.8,720.15,628.95,525.3,730.6,719.3,745,761.9,710.7,689.3,737.7,762.85,731.45,728.2,707.9,684.25,701.7,702.5,786.45,690.9,683.95,677.4,710.65,712.7,713.35,737.05,768.4,717.1,670.1,701.4,753.15,757.8,726.15,722.7,633.9,695.2,727.9,732.1,737.2,753.85,705.95,692,730.45,759.3,737.35,723.9,722.45,692.6,690.55,685,701.4,654.45,684.5,677.55,715.1,714.2,714.8,748.3,761.15,720.5,673.5,702.65,750.4,743.5,712.75,724.2,796.45,536.15,720.7,741.4,746.2,760.8,714.6,675.8,732.75,759.2,731.7,711.45,695,707.8,683.9,694,679.35,680.3,687.75,678.05,696.6,712.85,718.95,745.4,768.85,741.45,672.9,697.8,755.1,733,711.6,711.1,625,518.65,716.65,728.8,735.45,761.45,707,676.65,732.15,760.55,739.8,714.65,716.7,689.2,677.75,683.1,689.95,699.1,687,700.45,706.65,705.9,720,754.6,767.8,721.85,672.8,695.2,747.25,734.85,720.5,725.9,625.25,530.8,727.1,726.9,746.05,772.15,707,678.9,735.45,763.45,739.75,710,709.7,701.1,698.8,670.7,702.65,701.9,692.6,688.9,694.4,717.1,724.6,762.85,774.25,729.9,679,694.4,753.25,742.2,726.55,711.05,621,529.1,727.85,733.8,751.8,771.75,708.3,671.75,739.05,742.4,730.5,722.1,715.8,714,711.75,708,716,712.95,707,708.1,705.95,714.4,714.4,746.15,754.45,725.95,677.85,686.2,754.6,748.7,736.1,723.4,631.95,533.35,735.6,737.4,747.3,772.8,695,691.05,726.85,748.9,747.35,723.55,716.85,705.85,729.2,731.6,712.85,722.2,722.85,715.6,726.3,732.7,729.2,770.7,753.65,717.7,669.2,686.5,766.05,749.7,717.7,719.3,627.1,528.95,722.1,738.15,751.05,770.1,703.9,689.4,730.8,745.85,791.8,786.4,791.25,789.6,791.7,784.35,795.6,787.75,784.1,776.85,777.35,787.9,792.05,801.4,766.55,719.45,678.8,719.1,771.65,743.25,724.2,719.3,622.1,537,737.1,742,757.3,772.55,707.5,684.6,737.45,745.1,751.7,743.95,764.2,747.4,749.5,756.1,753.1,751.8,750.65,736.05,752.5,756.8,751.2,754,737,731.6,678.75,718.3,759.1,750.6,716.2,703.95,627.7,534,735.05,727.8,758.7,776.05,719.4,680.55,798.5,721.65,718.6,721.85,718.6,717.2,740.95,744.15,737.05,730.4,735.8,715.55,735.85,741.05,745.9,750.25,744.7,801.8,686.65,714.5,759.65,749.7,727.05,716.1,630.75,528.5,736.4,734.5,748.3,764.8,734.35,688.2,671.7,681.2,669.7,676.95,686.1,675.2,685.8,688.8,706,686.1,682.85,680.6,705.7,680.7,679.1,700.35,693.6,685.75,672.95,705.75,761.05,748.9,720.75,721,627.05,530.4,724.9,726.2,760.2,781.65,713.9,729.15,726.9,732.75,737.95,739.85,753.8,738.55,749.65,759.6,739.7,723.3,735.1,734.6,752.5,730.8,728.7,740.1,736.7,729.35,707.65,716.1,758.05,748.9,720.55,715.95,625.1,516.5,726.7,727.9,767.75,814.7,754.3,756.45,764.65,748.65,762.75,760.1,776.6,761.85,773.6,760.8,769.15,771.55,753.7,729.65,766.3,760.65,762.75,774.6,754.6,755.95,747.25,751.5,806.45,762,722.5,724.6,626.4,526.45,741.2,729.8,762.2,763.1,768.95,767.05,771.3,769.45,764.5,769.85,777.4,780.4,787.8,783.7,777,777.55,779.15,775.15,796.1,785.3,783.45,798.7,775.55,778.35,773.75,770.4,772.25,763.5,717.8,717,629.9,521.75,746.5,738.4,720.2,726.55,740.15,737.7,733.05,715.8,721.9,726.1,727.1,736.25,738.95,736.45,735.35,730.95,725.65,705.3,717.85,715.3,713.85,722.7,715.25,714.5,716.5,701.6,703.7,702.7,718.2,727.6,627.4,534.55,620.4,741.8,733.7,719.1,733.75,725.8,728.45,736.25,727.2,714.35,730.7,732.6,739.15,730.8,740.4,738.5,728,719.5,737.9,742.15,740.05,743,734.6,738.55,729.65,732.2,717.9,723.5,726.8,624,633.5,690.45,639.2,637.6,645.8,646.2,651.3,648.55,635.05,644.2,651.6,657.6,675.3,668.1,633.4,636.5,638.15,810.05,661.8,620.4,637.55,637,641.55,660.65,657.65,843.1,840,669.05,835.9,655.65,649.25,637.2,820
