#date,Sat Sep  9 17:08:27 2017

#sensor id,Z3251-11-28-34-3
#shutter speed,30
#exposure time,5.504
#wavelength(nm),600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958,959,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,990,991,992,993,994,995,996,997,998,999,1000
#power,231.758,238.673,245.589,252.504,259.42,266.335,269.407,272.479,275.552,278.624,281.696,281.782,281.868,281.955,282.041,282.128,278.519,274.91,271.301,267.692,264.083,255.745,247.407,239.069,230.731,222.393,211.31,200.228,189.145,178.062,166.98,154.257,141.534,128.811,116.088,103.365,95.3039,87.243,79.1822,71.1213,63.0605,59.655,56.2495,52.844,49.4386,46.0331,45.3534,44.6737,43.994,43.3143,42.6346,46.2981,49.9616,53.625,57.2885,60.952,64.1537,67.3554,70.5571,73.7588,76.9605,79.2759,81.5913,83.9067,86.2221,88.5375,89.1587,89.7798,90.401,91.0222,91.6434,89.0473,86.4512,83.8552,81.2591,78.663,79.4549,80.2467,81.0385,81.8303,82.6222,79.5078,76.3935,73.2791,70.1648,67.0505,70.3173,73.5842,76.8511,80.1179,83.3848,86.4481,89.5114,92.5747,95.638,98.7012,104.148,109.595,115.041,120.488,125.935,132.424,138.912,145.401,151.89,158.379,159.725,161.071,162.417,163.763,165.109,171.653,178.196,184.739,191.283,197.826,198.103,198.38,198.658,198.935,199.212,198.985,198.758,198.531,198.304,198.078,196.775,195.473,194.17,192.868,191.566,190.728,189.89,189.052,188.214,187.376,185.679,183.982,182.285,180.589,178.892,180.472,182.052,183.631,185.211,186.791,188.82,190.849,192.878,194.907,196.936,198.536,200.137,201.737,203.338,204.938,200.369,195.799,191.229,186.66,182.09,187.962,193.834,199.706,205.578,211.45,215.568,219.685,223.803,227.92,232.038,228.724,225.41,222.096,218.781,215.467,210.13,204.792,199.454,194.117,188.779,181.202,173.625,166.048,158.472,150.895,146.256,141.617,136.978,132.339,127.7,124.819,121.937,119.055,116.174,113.292,115.084,116.875,118.667,120.459,122.251,128.956,135.661,142.366,149.071,155.776,163.288,170.8,178.312,185.824,193.337,200.726,208.116,215.506,222.896,230.286,229.046,227.806,226.566,225.326,224.086,230.453,236.821,243.188,249.556,255.923,261.121,266.318,271.516,276.714,281.911,285.923,289.935,293.947,297.959,301.97,305.468,308.965,312.462,315.959,319.457,322.181,324.905,327.63,330.354,333.079,331.679,330.28,328.881,327.482,326.082,317.805,309.528,301.25,292.973,284.695,275.171,265.646,256.122,246.597,237.073,220.989,204.906,188.823,172.739,156.656,146.309,135.962,125.615,115.268,104.921,100.066,95.2101,90.3548,85.4994,80.644,78.7472,76.8503,74.9534,73.0566,71.1597,68.1661,65.1724,62.1787,59.1851,56.1914,52.947,49.7026,46.4582,43.2139,39.9695,44.6727,49.3759,54.0792,58.7824,63.4856,67.4104,71.3352,75.2601,79.1849,83.1097,81.3205,79.5314,77.7422,75.9531,74.1639,71.7284,69.2929,66.8573,64.4218,61.9862,57.7586,53.5311,49.3035,45.0759,40.8484,34.9424,29.0365,23.1305,17.2246,11.3186,6.61628,1.91392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45933,14.6784,26.8975,39.1165,51.3356,59.4995,67.6635,75.8275,83.9914,92.1554,96.7951,101.435,106.074,110.714,115.354,115.467,115.58,115.693,115.806,115.919,111.179,106.439,101.699,96.9586,92.2185,82.3895,72.5606,62.7317,52.9027,43.0738,28.799,14.5241,0.24933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#filterdata,695.95,647.4,653.55,642.5,652.4,655.85,648.4,645.55,659.4,638.05,640.95,643.7,630.75,644.35,651.15,663.3,643.3,645.95,639.5,644.2,637.95,635.85,647.5,640.55,650.1,634.4,636.1,649.9,639.8,636.8,634.3,807.35,549,641.45,633.15,624.85,640.9,630.1,630.4,637.4,625.4,632.5,635.3,640.4,637.4,644.45,646.9,640,640.35,624.8,627.3,635.55,635.8,639.4,639.5,638.05,621.4,627.6,627.95,639.3,624.65,635.35,623,646.1,538.7,647.9,646.25,631.8,636.4,638.4,645.55,631.15,646.6,642.9,630.7,640,636.1,637.85,641.85,640.85,641.6,636.7,633.5,638.95,644.7,625.95,652,641.9,642.85,640.45,632.8,643.15,622.3,640.4,625.5,634.6,539.65,731.95,782,760.75,743.7,743.65,741.2,747.05,740.5,750.9,742.75,754.8,742.25,751.85,765.25,753.45,750.55,737.95,753.1,769.25,753.9,763.5,769.5,747.3,767.85,748.95,751.75,745.15,757.6,769.7,717,633.55,543.8,718.05,773.8,757.45,794.6,735,736.75,725.1,698.8,717.7,730.8,723.9,713,721.75,729.7,731.55,728.15,709.1,714.25,714.6,724.1,717.8,721.45,719.95,735.35,706.4,716,789.4,740.3,763,709.3,645.4,542.65,715.45,785,740.6,717.05,690.15,701.4,700.4,686.05,698.7,702.3,703.5,694.1,703.45,702.25,699.95,700.4,686.9,701.65,707.8,690.2,698.7,706.9,701.9,709.5,706.45,701.75,722.1,739.2,775.6,703.5,648.45,547.55,721.8,779.2,762.7,714.5,703.7,737.45,720.3,726.3,743.8,740.1,742.7,738.75,753,745.9,743.45,736.1,730.15,687.2,680.3,689.7,686.5,697.6,690.9,692.7,667.3,690.9,715.6,734.75,765.25,704.7,647.4,536.65,724.9,775.4,745.9,716.5,701.65,680.2,781,731.7,716.6,738.1,725,730.85,733.8,746.1,741.05,731.95,717.3,719.1,723,712.65,709.35,726.6,714.65,783.15,677.85,686.05,709.85,731.7,777.4,701.85,635.65,548.4,720.9,767.8,759.35,724.65,706.05,698.3,719.7,766.25,763.95,779.1,779.8,760,772.2,783.95,766.75,770.15,773.8,762.5,774.35,765.2,752.95,763,776.1,706.55,681.7,699.05,717.25,748,783.3,714.1,642.9,538.8,724.95,777,741.6,724.4,698.75,690.5,733.5,761.2,720.8,715.4,725.5,718.65,727.25,723.8,727.15,734.85,723.2,714.4,729.65,727.4,718.1,752.5,752.7,714,678.9,693.8,729.6,742.75,769.85,714.7,640.75,538.25,720.85,791.25,762.15,731.5,711.65,695,717.2,754.2,727.6,712.3,719.85,711.5,723.3,719.1,725.4,722.05,722.3,707.35,715.6,721.8,720.9,728.8,749.9,713.75,681,688.8,736.1,746,766.65,721.2,643.65,534.65,724.9,784.75,750.1,740.6,691.4,681.8,712.85,769.15,714.35,718.7,714.75,702.6,698.5,716.2,701.7,706.7,694.4,691,698.5,704.55,715.5,728.35,752.15,711.2,676.7,701.25,735.1,744.05,760.3,717,642.35,543.7,739,722.3,748.3,745.1,704.4,687.3,711.7,746.8,729.6,726,715.5,726.15,727.2,724.75,717.3,725.7,697.4,704.3,713.65,723.7,717.85,739.55,765.95,717.3,682.95,692.5,739.75,736.2,702.35,721.7,635.85,536.25,723.1,718,740.4,748.55,698.95,696.5,724.2,760.75,732,722.15,712.65,698.35,705.6,694.5,705.5,676,681.15,687.2,711.8,700.2,722.55,741.9,744.1,726.45,679.55,694.6,730.4,735.7,728.5,714.1,630.45,535.5,725.4,720,753.2,741.95,711.95,689.6,718.9,759.3,711.1,729.5,702.5,699.4,705,709.4,691.2,706.5,679.1,676.5,710.05,709.95,707.75,742.3,761.75,729.65,684.05,706.05,737.25,745.95,715.7,726.8,645,538.05,732.75,723.2,739.1,759.35,712.35,694.8,737.9,753.45,729.5,727.65,706.55,687,708.65,710.8,780.2,695.55,689.5,683.1,712.65,713.8,714.05,734.3,762.3,719.15,676.8,703.6,748.7,750.2,727.95,723.7,644.3,683.2,728.3,732,728.65,751.65,710.15,698.65,729.3,753.5,733.8,728,721.55,697.5,698.75,691.9,706.85,665,691.9,682.05,718.3,712.25,713,748.35,754.35,722.2,681.3,705.6,749.4,734.45,715.4,725.4,784,549.35,722.6,742.35,736.8,758.75,715.9,683.6,730.6,750.65,726.65,715.75,694.65,707.5,692.2,699.4,684.3,684.95,696.05,685.75,698.85,713.15,719.1,740,762.8,738.95,677.9,700.4,755.25,726.6,709.05,712.1,638.9,534.4,719.3,731,728.2,757.35,712.15,681.65,732.4,754.4,735.6,715.8,716.9,691.15,683.5,693.45,698.85,705.55,692.2,703.65,709.2,705.75,723,750.3,759.45,722.6,676.75,700.5,745.85,729.65,721.4,726.7,641.05,545,727.4,726.7,739.4,770.85,711.25,685.7,735.6,754.9,734.75,711.2,709.1,698.5,702.25,677.5,703.1,705.75,696.55,690.3,696.5,718.5,722.9,755.8,765,730,686.3,697.35,750.2,734.2,727.4,712.5,636.15,545.3,727.8,735.9,744.7,769.3,710.05,677.3,740.15,739,726,722,714.95,715.35,716.6,712.85,720.7,713.8,709.1,714.45,711.6,718.3,716,743.05,750.25,724.4,683.7,694.8,754.6,740.85,734.7,725,646.2,546.65,737.3,737.2,740.45,774.5,698.8,696.55,728.65,744.6,740.15,719.6,715.3,707.65,729.8,734.65,717.15,722.4,724.4,716.25,723.8,733.35,727.3,762.75,748.8,715.85,676.3,690.7,761,739.8,719.2,722.7,641.6,546.1,725.3,738.95,742.4,766,705.3,695.3,732.05,741.05,783.2,778,781.1,779.65,782.45,778.55,788.2,777.7,775.65,772.05,769.5,779.95,781.6,789.1,756.05,722,683.3,722.6,768.45,736.35,723.35,719.85,639.8,551.8,738.6,738.35,745.5,769.25,709.1,690.8,734.6,737.2,748,736.6,755.2,738.35,744.55,751.5,748.5,744.85,747.55,729.25,743.6,750.25,744,744.75,731.3,731,682.4,720,755.6,742.5,715.2,703,643.1,547.55,738.1,727.1,750.7,774.3,721.9,688.35,785,722.95,714.95,721.8,718.3,716.6,743.65,744.15,740.35,732.7,733.5,717.1,735.6,742.5,745.85,748.8,745.5,787.85,692.75,715.4,755.2,741.2,727.55,718,646.4,541.95,738.45,732.3,739.75,759.55,734.4,696.6,679.4,688.2,674.65,681.45,690.2,680.75,690.9,691.85,711.9,692.6,690.15,687.6,711.35,686.1,683.75,704.8,700.1,692.5,680.2,709.7,752.75,738.55,721.8,720.8,641.2,546.3,728.9,725.25,752.2,780.5,715.5,730.25,730,735.6,737.25,738.6,755.8,736.7,746.3,762.25,741.1,726.9,733.8,731.2,749.4,730.9,727.1,738.2,737.05,727,707.8,712.6,754.4,742.3,722.1,717.25,641.1,528.7,728,726.7,762.15,805.1,751.55,753.15,763.7,745.3,756.95,754.05,772.75,757,770.2,752.95,764.8,766,745.3,723.6,760.3,756.4,756.9,767.7,747.45,748.45,741.1,743.8,795.05,753.8,723.15,727.95,642.85,541.7,741.7,729.35,753.9,756.25,760.9,762.55,765.45,764.4,760.6,762.9,770.7,773.55,781.6,778.65,772.4,770.55,771.1,768.2,788.35,776.3,776,789.05,769,773.2,770,761.05,765.45,755.9,716.95,715.95,645.75,537.8,746.65,736.2,719.35,726.85,737.6,738.35,728.7,711.1,719.8,720.6,722.55,731.35,734.9,734.75,732.4,727,724.3,707.35,720.4,718.15,710.5,727.25,714.95,715.5,718.6,704.15,706.7,705.9,720.85,728.9,643.3,548.4,636,742.1,731.75,717.4,735.6,724.4,726.35,737.1,725.5,715.7,730.6,732.5,737.65,728.4,740.6,736.65,724,717.9,736.25,738.4,737.95,738.45,732.3,735.9,727.7,731.45,716.25,720.7,723.8,641.75,647.75,678.4,652.5,651.05,656.75,658.4,663,660.2,647.55,652.85,663.25,665,685.1,674.95,645.7,649.8,652.25,795.55,672.4,636.5,651.1,648,653.25,674.45,671.75,828.9,824.7,680.45,819.4,667.25,660.4,651.45,804.8
