#date,Sat Sep  9 17:20:54 2017

#sensor id,Z3251-11-28-34-3
#shutter speed,30
#exposure time,5.504
#wavelength(nm),600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958,959,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,990,991,992,993,994,995,996,997,998,999,1000
#power,71.055,71.5048,71.9546,72.4045,72.8543,73.3041,72.6233,71.9426,71.2618,70.581,69.9003,69.1028,68.3053,67.5078,66.7103,65.9128,66.1681,66.4234,66.6787,66.934,67.1893,65.286,63.3827,61.4794,59.5761,57.6728,55.1658,52.6588,50.1518,47.6448,45.1378,41.5283,37.9187,34.3092,30.6996,27.0901,27.7657,28.4413,29.1169,29.7925,30.468,32.9434,35.4187,37.894,40.3693,42.8446,45.9048,48.9651,52.0254,55.0856,58.1459,62.4605,66.7752,71.0898,75.4044,79.719,83.5291,87.3392,91.1493,94.9593,98.7694,102.658,106.547,110.436,114.325,118.213,124.093,129.973,135.852,141.732,147.612,153.711,159.81,165.909,172.008,178.107,187.456,196.806,206.155,215.504,224.854,235.308,245.762,256.216,266.67,277.124,289.176,301.227,313.278,325.329,337.38,348.819,360.257,371.696,383.134,394.573,405.748,416.923,428.098,439.274,450.449,460.186,469.923,479.66,489.397,499.134,506.796,514.459,522.122,529.784,537.447,545.074,552.702,560.33,567.958,575.586,580.874,586.161,591.449,596.737,602.025,608.812,615.599,622.385,629.172,635.959,642.728,649.497,656.265,663.034,669.803,676.236,682.67,689.103,695.536,701.97,707.507,713.043,718.58,724.116,729.653,735.763,741.874,747.984,754.095,760.205,765.015,769.824,774.634,779.443,784.253,787.115,789.978,792.841,795.703,798.566,798.458,798.351,798.243,798.136,798.028,799.905,801.781,803.658,805.535,807.412,807.09,806.768,806.447,806.125,805.803,804.393,802.982,801.571,800.16,798.749,794.343,789.936,785.53,781.123,776.717,771.842,766.968,762.093,757.218,752.344,746.628,740.912,735.195,729.479,723.763,719.885,716.008,712.13,708.252,704.374,702.842,701.311,699.779,698.247,696.715,698.521,700.327,702.132,703.938,705.744,708.539,711.335,714.13,716.926,719.721,722.077,724.433,726.788,729.144,731.5,730.117,728.734,727.351,725.968,724.585,727.762,730.939,734.117,737.294,740.471,740.535,740.599,740.663,740.727,740.791,737.804,734.817,731.831,728.844,725.857,723.527,721.196,718.865,716.534,714.203,712.317,710.43,708.543,706.657,704.77,701.777,698.783,695.79,692.797,689.803,686.163,682.522,678.882,675.241,671.601,670.176,668.752,667.327,665.903,664.478,657.132,649.786,642.439,635.093,627.747,623.705,619.663,615.621,611.578,607.536,604.43,601.323,598.216,595.11,592.003,588.528,585.053,581.578,578.104,574.629,569.996,565.363,560.73,556.097,551.464,544.109,536.754,529.399,522.045,514.69,508.756,502.823,496.889,490.956,485.023,479.353,473.683,468.014,462.344,456.674,451.653,446.631,441.609,436.587,431.565,430.594,429.622,428.651,427.68,426.709,429.466,432.223,434.98,437.737,440.494,442.566,444.638,446.71,448.782,450.854,451.032,451.209,451.387,451.565,451.743,450.587,449.43,448.274,447.118,445.961,442.257,438.552,434.848,431.143,427.439,423.222,419.005,414.788,410.571,406.354,404.552,402.749,400.947,399.144,397.342,395.642,393.942,392.243,390.543,388.844,388.137,387.43,386.722,386.015,385.308,382.518,379.729,376.939,374.15,371.36,369.6,367.84,366.08,364.32,362.56,360.384,358.207,356.031,353.855,351.679,347.893,344.107,340.321,336.536,332.75,327.78,322.81,317.84,312.87,307.9,303.181,298.463,293.744,289.025,284.307,280.62,276.934,273.248,269.561,265.875,262.176,258.478,254.779,251.081,247.382,244.001,240.621,237.24,233.859,230.479
#filterdata,997,641.25,641.1,625.75,636.2,641.35,634.05,631.7,646.4,624.8,627.4,628.5,617,633.8,642,650.4,630.3,631.85,623.55,629.1,622.7,620.55,632.7,623.7,633.65,619.65,622,636.75,626.7,622,623.85,1105.5,542.3,625,619.5,611.05,628.9,615.75,617.5,622.6,611.7,619.1,621.4,624.85,622.8,628.8,635.35,624.9,627.95,609.6,612.25,622.95,623.8,626.75,626.2,624.1,609.2,612.85,617.25,624.25,612.25,621.5,609.45,638.8,527.7,641.3,644.2,624.4,630.5,632.55,641.1,627.25,644.7,640.1,626.55,634.1,632.4,631.7,639.8,637.15,639.15,632.05,626.15,632,635.2,619.6,644,634.5,632.9,632.9,625.85,634.55,615,637.5,617.1,622,529.7,865.7,1016.2,1062.6,938,940.65,937.3,955,947.6,963.75,961.2,968.55,957.5,967.6,985.2,978.6,966.7,960.1,907.5,916.35,904.8,914.5,916.6,894.35,911.85,892.75,898.95,882.5,1064.2,997.45,849.6,625.3,533.5,846.9,1015.75,906.25,1000.9,883.55,893.65,867.5,837.25,859.9,898.85,881.45,871.45,875.4,896.4,894.25,906.3,881.2,886.3,879.65,901.8,893.75,882.2,883.6,904.9,866.8,884.5,1000.7,890.3,997.5,837.1,638.7,530.95,836.1,1026.85,886.35,871.1,772.35,783,784,773,785.7,783.1,786.9,778.15,786.25,782.2,779.55,776.85,770.85,777.75,785.85,770.75,779.4,790.75,783.7,789.55,779.65,773.75,872.05,880.4,1008.8,824.7,641.2,537.2,836,1011.3,912.15,865.95,776.95,857.05,849.9,863.85,879.5,872.95,880.75,872.6,885.95,879.35,876.95,863.3,863.35,791.1,782.3,795.7,786.5,799.8,800.55,786.55,758,761.9,874.4,883.35,997.15,827.5,640.85,527.3,848.5,1013.6,901.8,878.7,778.5,780.8,1119.05,957.6,946.2,964.25,954,959.2,952.65,970.9,964,954.85,941.05,938.9,933.75,923.85,913.4,928,909.65,1113.1,780.3,763.05,862.05,879.85,1012.05,819.25,625,541.6,838.1,1002.8,914.8,883.45,785.85,804.65,916.65,1017.65,1013.85,1035.15,1039.65,1015.65,1024.9,1038.6,1023.85,1030.7,1038.6,1032.85,1035.1,1020.8,1009.15,1023.95,1033.35,901.35,797.3,778.55,880.55,901.8,1017.45,840.8,632.2,530.9,849.6,1014.05,905.75,886.1,778.9,804.3,934.25,1019.6,828.95,819.35,834.2,820.1,831,827.95,838.05,846.2,830.1,826.8,842.6,839,835.85,874.4,1014.15,910.25,789.75,773.35,904.95,907.75,999.5,840,632.85,528.3,843.1,1028.65,923.1,898.9,788.2,807.3,909.4,1022.75,844.15,869.8,869.3,856.6,870.65,857.6,862.3,865.55,860.45,837.9,849.5,854.4,859.4,849.6,1011.55,905.6,790,765.65,901.05,917.45,1006.7,844.45,635.35,524.8,841.65,1018.35,922.4,904.05,768.85,793.65,897.9,1030.4,831.55,846.4,872.2,850.25,841.35,859.45,846.7,848.95,836.5,843.3,853.45,869.4,839.35,844.3,1007.05,899.5,783.1,776.25,904.3,916.4,988.85,830.85,633.4,531.75,844.3,849.85,924.8,920.25,776.3,795.85,897.85,1011.25,851.55,844.85,877.75,778.9,765.25,764.35,754.95,769.4,741.35,755.15,767.55,895.15,840.75,863.7,1027.05,904.4,797.2,773.3,899.95,904.35,820.7,837.1,628.05,527.65,837.95,837.3,911.7,909.2,780.4,815.5,955.3,1027.75,858,841.2,883.1,757.05,744,724.4,736.55,704.6,710.75,720.25,767.55,870.95,847.85,866.65,1017.25,941.1,797.4,776,879.65,911,847.2,827.8,623.7,527.15,833.3,834.15,927.1,900.3,789.95,806.1,950.7,1034.45,837.8,842.95,875,756,726.2,758.15,739.8,747.65,722.6,704.85,774.15,876.05,821.25,865.2,1029.35,954.5,796.75,781.45,894.3,930.7,832.75,836.45,637.65,534.8,838.6,837.1,920.4,921.55,791.45,808.8,958.3,1026.05,856,834.2,889.2,754.4,730.9,751,936.8,742.3,728.4,706.9,778.5,897.4,824.05,861.7,1028.15,932.15,784.9,784.1,911.4,938.3,841.85,830.25,644.35,1001.75,839.3,842.8,916.1,903.25,788.7,806.4,958.75,1024.15,866.7,837.3,917.85,774.3,721.8,729.3,751.25,723.25,729.9,706.6,792.8,905.45,828.5,874.7,1026.35,927.2,785,785.9,900.2,930.75,823.35,839.05,1105.9,545.45,827.2,851.4,934.15,908.1,794.9,786.7,939.95,1022.25,858.4,819.3,885.35,801.7,716.4,736.65,722.55,721.1,732.15,707.9,792.7,897,828.35,872.4,1042.2,948.15,790.7,780.5,899.7,922.4,821.6,820.6,635.95,526.35,823.8,843.35,929.9,899.5,788.45,791.1,940.55,1020.8,872.8,815.1,896.55,794.7,707,712.95,722,730.4,718.25,749.55,809.9,887.35,828.2,886.7,1040,925.9,788.2,775.35,880.9,931.1,836.75,841.3,634,537.25,837.3,839.35,943.05,910.15,788.25,794.8,944.2,1019.7,877.25,810.7,896.6,815.25,795.15,745.6,815.45,816.7,821.35,818.3,830.7,899.45,829.45,900.15,1044.15,936.25,793.35,781.5,896.15,950.4,836.1,821.5,627.8,535,835.55,847.6,962.9,912.9,789.45,786.9,936.5,998.65,861.6,822.35,885.45,883.4,879.6,866.5,887.7,879.8,871.35,862.75,863.15,877.55,816.55,888.7,1022.95,922.3,791.3,771.1,897.65,957.55,844.3,830.2,638.55,538.7,841.8,845.95,952.3,911.5,776.6,804,919.5,1002,889.8,827,818.9,812.75,833.4,838.6,816.8,825.8,830.9,819.75,835.75,842.5,840.35,921.55,1023.95,912.4,784.4,770.1,899,959.75,826.75,829.3,631.6,535.1,827.75,842.8,967.7,906.8,784.25,803.1,923.65,1007,1031.8,1026.7,1027.65,1032.1,1031.05,1029.35,1039.95,1034.1,1031.7,1030.65,1030.25,1038.3,1045.95,1060.75,1030.1,905.3,787,803.1,905.5,961,838.3,829.45,632.8,545,848.1,850.65,964.3,903.5,769.95,789.55,910.9,993.85,1008.5,998.6,1016.3,1000.75,999.4,1005.55,1000.85,997.55,997.65,979.2,992,1004.55,998.85,1003.8,973.5,911.95,784.4,778.45,890.95,973.6,833.75,810.5,634.6,541.3,839.6,839.5,976.4,911.9,786.4,782,1100.3,895.7,897.95,896.3,887.45,883.2,908.05,914.5,901.4,887.05,883.5,870.35,881.8,894.45,903.1,903.15,891.25,1118.1,793.05,778.3,896.6,978.15,841,823.05,637.25,534.5,843.35,846.75,969.1,900.1,794.75,789.8,776,787.2,773.7,777.15,788.2,775.95,783.8,794.4,809.8,788.8,784.15,781.9,809.9,785.55,789.2,806.55,796.8,782.9,766.9,768.85,898.65,966.75,837.65,820.35,632.75,537.1,825.35,840.35,979.85,915.25,775.05,784.1,789.2,798.05,806.8,810.6,836.8,817.65,832.1,845.55,823.95,810.75,832.6,848.15,865.35,842.3,859.85,868.6,870.05,853.1,822.7,854.25,898.75,975.6,838.95,818.7,633.1,519.7,833.95,838.5,990.8,1009.45,900.05,896.15,905.95,890.95,911.35,909.6,930.3,914.65,931.7,916.2,932.85,933.65,919.4,894.95,933.5,942.75,939.7,958.05,938.65,935.85,926.95,939.55,1010.95,980.7,841.85,827.95,634,532.55,843.6,846,1037.1,985.4,996.2,998.55,1010.1,1006.1,1003.05,1011.35,1025.85,1032.25,1031.95,1023.6,1018.45,1026.65,1026.2,1020.7,1040,1031.4,1029.25,1045.8,1009.35,1011.6,1010.35,1003.9,1003.2,1044.35,843.55,823.1,636,528.85,853.5,864.85,842,849.2,866.95,865.8,864.55,845.05,858.7,865.6,878.45,889.15,888.2,886,893.1,892.35,888.65,850.25,861.05,862.85,860.05,869.85,856.15,853.05,849.7,830.95,833.5,836.1,854.85,836.3,634.8,541.15,627.1,844.95,837.35,821.7,843.2,829,837,852.8,840.8,828.8,844.9,847.8,851.45,842.95,857.7,861.65,845.8,831.9,852.9,864.4,864.45,866.6,854.2,861.7,851.45,847.9,840.2,844.95,846.1,632.65,642.8,982.85,648.7,645.8,657.4,678.7,686.2,679.15,658.7,684.1,698.95,718.5,747.45,750.1,640.55,645.25,652.8,1128.35,705.3,626.25,642.45,640.1,644.85,666.2,669.65,1171.05,1164.95,684,1144.45,668.45,653.4,643,1108
