#date,Sat Sep  9 17:19:57 2017

#sensor id,Z3251-11-28-34-3
#shutter speed,30
#exposure time,5.504
#wavelength(nm),600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639,640,641,642,643,644,645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660,661,662,663,664,665,666,667,668,669,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922,923,924,925,926,927,928,929,930,931,932,933,934,935,936,937,938,939,940,941,942,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958,959,960,961,962,963,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980,981,982,983,984,985,986,987,988,989,990,991,992,993,994,995,996,997,998,999,1000
#power,301.634,297.89,294.146,290.401,286.657,282.913,277.226,271.54,265.853,260.166,254.479,251.045,247.611,244.178,240.744,237.31,233.943,230.577,227.21,223.843,220.477,216.693,212.908,209.124,205.34,201.556,197.746,193.937,190.127,186.317,182.507,178.26,174.012,169.765,165.517,161.27,160.473,159.676,158.879,158.082,157.286,157.885,158.484,159.083,159.682,160.282,161.786,163.291,164.796,166.3,167.805,171.175,174.544,177.914,181.284,184.653,190.045,195.436,200.827,206.219,211.61,218.08,224.551,231.021,237.492,243.962,255.552,267.142,278.732,290.322,301.912,314.36,326.807,339.255,351.703,364.151,380.806,397.462,414.118,430.773,447.429,469.553,491.677,513.801,535.925,558.049,583.071,608.094,633.116,658.138,683.16,707.704,732.249,756.793,781.337,805.881,828.912,851.943,874.974,898.005,921.036,941.929,962.823,983.716,1004.61,1025.5,1041.53,1057.55,1073.57,1089.59,1105.61,1120.31,1135,1149.7,1164.39,1179.09,1190.94,1202.79,1214.63,1226.48,1238.33,1248.36,1258.39,1268.42,1278.45,1288.48,1298.62,1308.75,1318.89,1329.02,1339.16,1347.88,1356.6,1365.32,1374.04,1382.76,1390.94,1399.13,1407.32,1415.5,1423.69,1431.99,1440.3,1448.6,1456.91,1465.21,1472.54,1479.88,1487.21,1494.55,1501.88,1508.41,1514.94,1521.46,1527.99,1534.52,1535.65,1536.78,1537.91,1539.04,1540.17,1543.11,1546.05,1548.99,1551.93,1554.87,1556.9,1558.92,1560.95,1562.98,1565.01,1560.21,1555.41,1550.61,1545.81,1541.01,1536.18,1531.34,1526.51,1521.68,1516.85,1513.74,1510.62,1507.5,1504.39,1501.27,1495.3,1489.33,1483.36,1477.39,1471.43,1465.54,1459.65,1453.77,1447.88,1441.99,1437.48,1432.96,1428.45,1423.93,1419.42,1416.64,1413.87,1411.1,1408.33,1405.55,1404.1,1402.65,1401.2,1399.75,1398.29,1399.07,1399.85,1400.62,1401.4,1402.18,1399.58,1396.98,1394.39,1391.79,1389.2,1385.07,1380.95,1376.82,1372.7,1368.57,1362.63,1356.68,1350.74,1344.79,1338.85,1330.84,1322.83,1314.83,1306.82,1298.81,1292.03,1285.26,1278.48,1271.7,1264.92,1260.46,1256,1251.54,1247.07,1242.61,1240.72,1238.82,1236.92,1235.03,1233.13,1232.21,1231.3,1230.38,1229.46,1228.54,1230.75,1232.95,1235.16,1237.37,1239.57,1232.13,1224.7,1217.26,1209.82,1202.39,1196.73,1191.08,1185.42,1179.77,1174.11,1167.22,1160.33,1153.45,1146.56,1139.67,1131.32,1122.97,1114.62,1106.27,1097.91,1086.69,1075.48,1064.26,1053.04,1041.82,1028.29,1014.76,1001.23,987.705,974.177,961.632,949.087,936.542,923.997,911.452,902.257,893.063,883.869,874.675,865.481,860.909,856.337,851.765,847.193,842.621,844.748,846.876,849.003,851.131,853.258,860.694,868.129,875.564,882.999,890.435,894.237,898.04,901.843,905.646,909.448,908.956,908.463,907.97,907.477,906.984,903.533,900.082,896.631,893.18,889.728,882.98,876.232,869.484,862.736,855.987,847.23,838.473,829.716,820.959,812.202,803.514,794.825,786.137,777.448,768.759,758.228,747.696,737.164,726.633,716.101,705.558,695.016,684.473,673.931,663.388,653.309,643.23,633.151,623.072,612.993,605.079,597.164,589.249,581.335,573.42,567.893,562.367,556.84,551.313,545.786,541.431,537.076,532.721,528.365,524.01,521.058,518.105,515.153,512.201,509.249,508.472,507.695,506.918,506.141,505.364,504.841,504.318,503.795,503.272,502.749,500.866,498.983,497.101,495.218,493.335,490.82,488.304,485.788,483.272,480.756
#filterdata,1422.85,649.45,642.15,627.45,640.6,641.7,635.25,632.9,647.3,623.55,626.2,630,618,631.45,640.7,650.7,628.3,632.55,624.2,629.6,626,623,633.8,625.2,638.2,622.1,621.8,638.7,626.6,622.1,631.4,1536.7,545.85,626.9,620.2,611.5,625.65,613.85,617.7,622.65,611.65,618.6,621.3,625.3,621.8,628.95,632.3,625.35,626,609.65,613.85,621.55,621.8,624.5,627.2,621.8,608.3,612.1,615,625.15,610.3,621.4,607.45,641.75,526.75,649.2,657.5,635.45,642.75,645.75,653.45,640.5,656.9,649.55,642.15,647.05,644,646.8,649.65,650,651.6,645.35,637.5,642.95,645.35,630.8,654.15,642.75,646.6,642.85,638.25,641.7,626.75,650.6,625.6,622.4,536.4,1101.6,1396.5,1488.55,1256.2,1261.8,1252.1,1281,1269.4,1295.5,1299.2,1302.3,1289.65,1309,1330.95,1315.7,1304.75,1301.55,1206.5,1204.55,1200.75,1207.35,1211.2,1184.35,1201.25,1179.8,1187.7,1156.15,1499.75,1366.65,1085.1,633.8,539.5,1077.7,1402.75,1193.55,1400.95,1142.85,1164.85,1115.2,1080.35,1102.75,1171.3,1145.5,1135.1,1129.3,1167.65,1160.9,1189.35,1157.25,1161.45,1155.3,1184.4,1168.2,1153.1,1153.8,1176.15,1133.75,1163.45,1397.35,1177.25,1379.85,1065,644.25,540.4,1055.65,1411.6,1167.95,1119,924.9,936.5,945.8,931.9,946.05,946.7,952.6,941.15,949.55,943.4,937.85,935.05,931.95,937.4,938.7,928.15,949.85,955.45,949.6,954.75,937.3,926.25,1122.1,1159.55,1389.2,1049.35,647.2,542.55,1050.95,1390.9,1197.15,1108.75,932.3,1085.2,1084.3,1103.25,1124.8,1110.15,1125.9,1117.5,1131.7,1125.7,1118.6,1100.55,1110.3,962.95,945.4,965.35,955.85,969.8,974.1,950.3,915.3,910.7,1129.1,1169.8,1367.6,1055.35,648.35,535,1074.9,1391.35,1184.05,1141.3,933.45,940.9,1591.8,1263.85,1260.65,1280.65,1267.95,1269.75,1266.15,1278.3,1274.65,1267.65,1246.95,1239.75,1223.55,1209.35,1195.35,1214.55,1186.05,1586,942.05,917.3,1118.6,1162.1,1388.95,1038.95,632.45,545.05,1054.85,1391.35,1206.3,1145.35,946.9,979.85,1190.25,1414.7,1412.85,1428.45,1439.6,1410.8,1411.35,1427.1,1420.5,1433.85,1446.5,1442.15,1434.1,1410.5,1398.6,1403.65,1415.4,1182.2,980.3,941.2,1149.5,1188.15,1401.3,1071.25,644.2,536.3,1077.4,1394.95,1198.7,1152.7,939.55,978.5,1209.4,1414.05,1043.35,1030.4,1048.2,1030.75,1043,1043.25,1055.65,1070.5,1048.85,1051.5,1062.15,1065.7,1068.75,1112.55,1399.15,1186.2,965.85,934.55,1186.9,1201.35,1372.7,1075.35,639.6,533.2,1072.15,1413.2,1219.7,1180,945.9,984.5,1174.75,1410.25,1063.1,1115.85,1110.75,1095.7,1105.1,1095.55,1096.35,1107.3,1095.95,1070.6,1075.8,1087.1,1092.45,1077.1,1403.75,1168.6,964.25,922.7,1174.2,1214.6,1385.95,1076.35,643.75,531.9,1066.7,1393.15,1228.6,1179.55,928.05,964.45,1160.3,1411.3,1055.55,1074.65,1126.5,1095.6,1082.05,1093.25,1090.15,1080.9,1064.9,1083.8,1097.2,1127.7,1066.95,1079.3,1395.55,1163.2,951.05,934.6,1187.5,1218.7,1366.55,1065,641.9,540.6,1063.75,1086.45,1226.4,1214.6,936.55,967.2,1154.5,1401.05,1090.35,1065,1135,954.25,916.95,915.2,907.7,928.95,899.3,916.7,937.05,1156.55,1072.7,1107.4,1410.2,1162.9,973.85,940.15,1184.55,1194.6,1043.45,1064.9,638.1,533.3,1062.6,1065.85,1199.6,1188.3,947.3,1002.2,1268.6,1421.55,1100.6,1065,1148.2,925.55,867.9,837.45,844.7,803.8,819.55,836.4,923.4,1128.2,1073.1,1110.35,1407.35,1257.25,978,941.1,1154.25,1211.6,1071,1056.2,632.6,533.4,1052.05,1057.7,1221.55,1186.4,960.55,989.4,1277.25,1431.15,1077.15,1061.45,1140.05,913.6,836.8,884.2,871.95,875.75,849.25,810.6,940.25,1134.75,1044.6,1111.95,1418,1276.15,974.7,945.5,1177.2,1240.5,1052.8,1060.1,646.4,547.4,1050.15,1063.4,1227.8,1216.85,963,985.8,1273.45,1415.4,1102.65,1045.75,1160.7,925.2,836.8,879.2,1271.35,870.7,849.9,813.6,940.5,1165.45,1035.35,1112.2,1418.5,1241.6,960,955.65,1207.7,1254.25,1069.7,1048.7,659.8,1447.65,1059.95,1061.5,1230.8,1183.25,956.5,979.95,1279.45,1404.85,1113.55,1049.4,1206.8,954.8,826.15,846.5,881.45,820,846.7,812.6,964.15,1181.35,1038.6,1122.1,1417.3,1225.6,956.2,954.2,1185.35,1247.55,1049.2,1070.3,1567.9,553,1049.1,1077.85,1255,1188.15,961.7,947.7,1237.3,1404.45,1106.25,1024.8,1159.35,994.75,819.9,860.8,838.65,834.5,854.45,813.15,976.3,1172.75,1033.35,1124.3,1445.3,1245.3,970.15,946.75,1185.1,1239.95,1047.3,1040,647.1,531.4,1033.7,1074.85,1248.2,1186,955.9,968.55,1248.5,1399.2,1130.1,1011.7,1162.2,994.85,814.35,809.1,838.15,855.4,847.85,914.85,1007.1,1160.4,1036.1,1150.6,1437.4,1215.7,958.25,944.65,1163.45,1254.9,1069.1,1073.25,642.4,542.1,1057.85,1066.95,1267.8,1201.2,955.45,964.2,1247.6,1391.7,1137.45,1013.7,1169.4,1027.4,972,879.5,1021.2,1010.5,1035.85,1030.85,1046,1169.7,1039.5,1168.25,1445.1,1245.3,965.85,952.3,1182.25,1286.65,1061.15,1045,636.95,542.9,1058,1077.05,1290.75,1210.75,963.85,966.95,1229.9,1368.25,1124.7,1027.25,1143.5,1133.5,1138.4,1109.6,1148.75,1132.35,1125,1103.85,1103,1133.55,1024.45,1163.6,1411.25,1218.45,971.85,940.1,1187.2,1289.35,1071.05,1055.9,644.6,546,1068.45,1069.65,1283.05,1192.9,943.6,979.4,1208.35,1369.45,1156.85,1031.9,1017.4,1025,1038.15,1043.35,1019.9,1027.4,1041.05,1027.25,1048.3,1060,1058.55,1213.1,1407.8,1205.65,959.55,938.2,1178.8,1295,1052.8,1052.4,642.35,542,1048.65,1068.5,1308.7,1194.35,947.8,976.7,1215.45,1376.85,1426.25,1427.15,1428.9,1430.2,1438.55,1428.9,1444.2,1437.65,1440.8,1443.05,1431.05,1445.2,1452.1,1485.7,1405.55,1182.55,959.5,971.2,1190.65,1305.3,1067.3,1055.4,640.1,552.1,1075.75,1076.95,1299.2,1182.45,939.85,950.4,1180.75,1351.9,1372.1,1366.7,1382.55,1358.25,1354.5,1362.6,1358.15,1347.7,1341.05,1330.45,1333.25,1355.8,1344.15,1362.6,1312.8,1184.25,954.2,949.95,1169.35,1326.1,1066.1,1040.05,642.45,546.5,1058.4,1067.1,1315.9,1197.35,973.4,936.7,1557.45,1165.2,1175.65,1170.9,1156,1159.05,1169.85,1187.7,1168.15,1148.2,1142.75,1118.7,1132.2,1152.75,1165.8,1162.75,1133.3,1585.2,956.45,964.1,1179,1336.55,1071.55,1039,645.7,540.75,1061.85,1075.35,1316,1174.5,965.8,951.25,936.6,952.85,942.9,937.9,950.05,941.2,948.5,970.25,984.95,958.4,952,948.25,985.9,960.75,969.95,988.45,964.2,942.85,925.55,942,1179.85,1316.4,1066.1,1035.8,641.5,543.1,1037.45,1066.35,1323.7,1189.95,947.45,948.5,974.8,981,1018.7,1017.8,1071.85,1038.75,1059.7,1065.5,1035.6,1024.65,1067.2,1102.35,1111.95,1082.45,1121.25,1121.9,1119.7,1093.4,1047.55,1104.85,1177.8,1329.05,1065.35,1031.85,641.45,526.3,1049.5,1065.7,1340.25,1402.7,1182.95,1166,1179.9,1165.75,1196.4,1206.7,1227,1211.6,1228.6,1205.05,1236.1,1239.1,1221.55,1193.9,1233.95,1261.9,1255.35,1273.35,1251.05,1245.9,1233.75,1261.8,1420.5,1327.3,1079.9,1048.6,640.6,538.65,1071,1073.1,1444.35,1341.9,1361.35,1365.85,1389.2,1378.3,1379.1,1395.8,1423.6,1433.4,1426.7,1412.7,1408.9,1418.5,1427.55,1420.35,1433.2,1434.55,1430.75,1444.9,1400.7,1399,1393.65,1399.45,1389.6,1461.65,1068.9,1046.05,644.65,534.7,1073.8,1101,1071.95,1081.25,1103.8,1105.2,1107.25,1088.35,1109.6,1115.8,1139.5,1154.55,1138.75,1140.35,1160.6,1164.05,1151.9,1083.5,1093.4,1104,1096,1113.15,1092.4,1085.4,1082.4,1049.2,1053.2,1059.55,1092.05,1054.1,641.15,551.3,641.7,1063.6,1058,1042.9,1061.05,1053.35,1058.9,1087.25,1062.85,1062.1,1075.75,1085.4,1083.1,1075.3,1088.8,1108.5,1081.55,1060.3,1086.6,1105.1,1105.35,1104.2,1089.7,1102.8,1089.5,1072.6,1069.45,1079.1,1068.45,647.45,652,1410.2,659.6,660.65,687.6,731.4,746,722.95,689.95,743.5,777.9,811.6,859.85,883.2,650.85,654.5,669.35,1606.75,773.4,639.1,648,646.55,650.75,670.9,679.2,1653.05,1642.7,703.8,1601.35,680.1,656,649.15,1537.6
